Building,Schedules,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,HVAC Cooling Partial Space Conditioning,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City
36,Stochastic,High,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour20,Hour18,5B,"G0800410, G08004103",None,"CO, El Paso County",Non-CBSA Mountain,5B,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 04103",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,None,None,"Fuel Boiler, 76% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,68F,70F,Yes,No,3F,0F,Night +1h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% LED,91%,EF 17.6,"EF 12, National Average",None,None,None,None,No,None,No,None,None,"In metro area, principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,3,2,400%+,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Wood Stud, R-7",None,10 ACH50,34,RMPAc,"CO, Colorado Springs"
37,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour10,Hour4,1A,"G1200110, G12001106",None,"FL, Broward County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",1A,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 01106",Single-Family Detached,1970s,1960-79,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,100000-119999,100000-119999,100000-149999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,75F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 10.5, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,106%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,3,3,400%+,F18 B18 L18 R18,R-19,"Unfinished, Uninsulated","Wood Stud, R-7",100% Conditioned,15 ACH50,102,FRCCc,"FL, Plantation"
38,Stochastic,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,Gas Fireplace,None,None,None,"Cooling Season, 7 days/wk",None,Hour1,Hour17,2A,"G1200950, G12009507",None,"FL, Orange County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 09507",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Double, Clear, Non-metal, Air",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 8",None,None,None,None,68F,78F,No,No,0F,0F,None,None,None,"EF 15.9, 100% Usage","Electric, 120% Usage","290 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,106%,None,"EF 12, National Average",Gas,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",1 Car,3,4,400%+,F6 B6 L6 R6,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,40 ACH50,101,FRCCc,In another census Place
39,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,Gas Fireplace,Gas Grill,None,None,"Cooling Season, 7 days/wk",None,Hour3,Hour7,4A,"G3601030, G36003305",None,"NY, Suffolk County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03305",Single-Family Detached,1970s,1960-79,Single-Family Detached,Fuel Oil,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Fuel Oil,Fuel Oil Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Fuel Oil Fuel Furnace,"AC, SEER 15",None,None,None,None,68F,72F,No,No,0F,0F,None,None,None,"EF 15.9, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,101%,EF 6.7,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, Uninsulated",No,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",2 Car,4,4,400%+,F18 B18 L18 R18,R-30,"Unfinished, Uninsulated","Wood Stud, R-7",100% Conditioned,20 ACH50,128,NYSTc,In another census Place
40,Stochastic,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour15,Hour7,4A,"G3600810, G36004108",None,"NY, Queens County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04108",50 or more Unit,1950s,1940-59,Multi-Family with 5+ Units,Natural Gas,None,None,Vented Crawlspace,Double-Loaded Interior,Occupied,Renter,80000-99999,80000-99999,60000-99999,7,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",No,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,68F,75F,No,Yes,0F,5F,None,Day Setup +1h,None,"EF 17.6, 100% Usage","Gas, 120% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,"In metro area, principal city",500-749,0-1499,14,"Multifamily with 5+ units, 8+ stories",Middle,323,Middle,4+,None,8+,Steel Frame,"Aluminum, Light",None,1,1,400%+,F30 B30 L30 R30,None,"Finished, R-7","Wood Stud, Uninsulated",100% Conditioned,40 ACH50,127,NYSTc,"NY, New York"
41,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour11,Hour18,5B,"G4900110, G49011001",None,"UT, Davis County",Non-CBSA Mountain,5B,UT,CR05,Mountain,Mountain North,West,None,Cold,"UT, 11001",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,100000-119999,100000-119999,100000-149999,Left/Right at 15ft,No,"Asphalt Shingles, Medium","2ft R10 Perimeter, Vertical",None,None,None,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,72F,Yes,No,3F,0F,Day and Night +3h,None,Standard Efficiency,"EF 10.5, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,91%,None,None,None,None,None,None,Yes,"10% Leakage, R-8",No,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Stucco, Light",2 Car,3,2,400%+,F12 B12 L12 R12,R-19,"Unfinished, Uninsulated","Wood Stud, R-19",100% Conditioned,7 ACH50,25,NWPPc,In another census Place
42,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour21,Hour17,4A,"G4201010, G42003208",None,"PA, Philadelphia County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03208",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,10,Middle,Unheated Basement,Not Applicable,Occupied,Owner,<10000,<20000,<20000,7,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 9.8",None,None,None,None,70F,75F,No,Yes,0F,5F,None,Day Setup -2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,108%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",750-999,0-1499,2,Single-Family Attached,None,None,None,2,Vented Attic,<8,Brick,None,None,2,2,0-100%,F12 B12 L12 R12,R-7,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",60% Conditioned,30 ACH50,122,RFCEc,"PA, Philadelphia"
43,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour21,Hour8,5A,"G0900090, G09000905",None,"CT, New Haven County",Non-CBSA New England,5A,CT,CR03,New England,New England,Northeast,NEISO,Cold,"CT, 00905",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,<10000,<20000,<20000,7,None,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 9.8",None,None,None,None,72F,70F,Yes,No,6F,0F,Night -2h,None,None,"EF 15.9, 100% Usage","Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,121%,EF 17.6,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",750-999,0-1499,4,Multifamily with 2-4 Units,Middle,4,Not Applicable,4+,None,<8,Wood Frame,"Vinyl, Light",None,2,3,0-100%,F9 B9 L9 R9,None,"Finished, R-19","Wood Stud, Uninsulated",20% Conditioned,25 ACH50,132,NEWEc,"CT, New Haven"
44,Stochastic,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour21,Hour18,3A,"G0501190, G05001000",None,"AR, Pulaski County",Non-CBSA West South Central,3A,AR,CR09,West South Central,West South Central,South,MISO,Mixed-Humid,"AR, 01000",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,60000-69999,60000-79999,60000-99999,Left/Right at 15ft,No,"Metal, Dark",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,65F,80F,No,No,0F,0F,None,None,Standard Efficiency,"EF 6.7, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% LED,113%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,None,2,1,400%+,F6 B6 L6 R6,R-19,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-7",100% Conditioned,15 ACH50,85,SRMVc,"AR, Little Rock"
45,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,Gas Fireplace,None,None,None,"Cooling Season, 7 days/wk",None,Hour1,Hour16,4A,"G2400050, G24000502",None,"MD, Baltimore County",Non-CBSA South Atlantic,4A,MD,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"MD, 00502",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,100000-119999,100000-119999,100000-149999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,75F,No,No,0F,0F,None,None,Standard Efficiency,"EF 19.9, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-4",No,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,4,4,400%+,F9 B9 L9 R9,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",80% Conditioned,20 ACH50,123,RFCEc,In another census Place
46,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour6,Hour14,2A,"G1200570, G12005708",None,"FL, Hillsborough County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 05708",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,70F,76F,Yes,Yes,6F,5F,Day -4h,Night Setback,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, R-8",No,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,"Stucco, Light",2 Car,3,4,300-400%,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-19",100% Conditioned,10 ACH50,101,FRCCc,In another census Place
47,Stochastic,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour21,Hour10,5A,"G2500010, G25004800",None,"MA, Barnstable County",Non-CBSA New England,5A,MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 04800",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Vacant,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Tankless,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,55F,70F,No,No,0F,0F,None,None,"Standard Efficiency, No usage","EF 17.6, 100% Usage","Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,99%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,Not/partially in metro area,2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",2 Car,3,3,400%+,F12 B12 L12 R12,R-38,"Unfinished, Uninsulated","Wood Stud, R-7",100% Conditioned,20 ACH50,131,NEWEc,In another census Place
48,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour7,Hour16,5A,"G1800970, G18002305",None,"IN, Marion County",Non-CBSA East North Central,5A,IN,CR04,East North Central,East North Central,Midwest,MISO,Cold,"IN, 02305",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,70F,70F,No,Yes,0F,2F,None,Night Setback +1h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,85%,EF 17.6,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",No,None,None,"In metro area, not/partially in principal city",1000-1499,0-1499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,3,4,300-400%,F12 B12 L12 R12,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,15 ACH50,106,RFCWc,"IN, Indianapolis City Balance"
49,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour6,Hour9,4A,"G3600850, G36003901",None,"NY, Richmond County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03901",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Central AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"AC, SEER 15",None,None,None,None,72F,72F,Yes,No,3F,0F,Day +1h,None,Standard Efficiency,"EF 19.9, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,101%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",1 Car,3,4,400%+,F12 B12 L12 R12,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,15 ACH50,127,NYSTc,"NY, New York"
50,Stochastic,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour7,Hour19,4A,"G3400090, G34002600",None,"NJ, Cape May County",Non-CBSA Middle Atlantic,4A,NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 02600",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Central AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"AC, SEER 13",None,None,None,None,68F,70F,Yes,No,12F,0F,Night -1h,None,None,"EF 17.6, 100% Usage","Gas, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,101%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",No,None,None,"In metro area, not/partially in principal city",3000-3999,2500-3999,3,Single-Family Detached,None,None,None,3,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,5,2,400%+,F9 B9 L9 R9,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,25 ACH50,126,RFCEc,In another census Place
51,Stochastic,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour14,Hour8,4A,"G4201010, G42003209",None,"PA, Philadelphia County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03209",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,<10000,<20000,<20000,7,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air, Exterior Clear Storm",No,Electricity,Electric Standard,Non-Ducted Heating,Room AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"Room AC, EER 10.7",None,None,None,None,70F,70F,No,No,0F,0F,None,None,None,"EF 17.6, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,89%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",500-749,0-1499,9,"Multifamily with 5+ units, 8+ stories",Middle,116,Middle,4+,None,8+,Steel Frame,"Aluminum, Light",None,1,1,0-100%,F30 B30 L30 R30,None,"Finished, R-30","Wood Stud, Uninsulated",20% Conditioned,50 ACH50,122,RFCEc,"PA, Philadelphia"
