,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
42,Non-Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"CT, New Haven"
43,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"AR, Little Rock"
47,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"IN, Indianapolis City Balance"
48,Non-Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Boiler,15 ACH50,"NY, New York"
50,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air, Exterior Clear Storm",Electricity,Room AC,Electricity Baseboard,50 ACH50,"PA, Philadelphia"
51,Non-Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"CA, Vallejo"
52,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"KS, Overland Park"
53,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,10 ACH50,"IL, Chicago"
54,Non-Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"WA, Spokane"
55,Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Shared Heating,20 ACH50,"NY, New York"
57,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,15 ACH50,"NY, New York"
58,Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
60,Non-Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,10 ACH50,"OH, Youngstown"
63,Ducted Heating,3B,2000s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"NV, Paradise"
64,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
65,Ducted Heating,4A,1950s,Single-Family Attached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"PA, Philadelphia"
71,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,4 ACH50,"NV, Las Vegas"
74,Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Tampa"
76,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Triple, Low-E, Non-metal, Air, L-Gain",Natural Gas,Central AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"PA, Philadelphia"
78,Ducted Heat Pump,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,25 ACH50,"FL, Daytona Beach"
79,Ducted Heating,3A,1980s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Carrollton"
80,Non-Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"TX, Richardson"
81,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"MA, Arlington"
82,Ducted Heating,6B,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"WY, Casper"
83,Ducted Heating,4B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"NM, Albuquerque"
86,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Dallas"
87,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"IN, Fort Wayne"
90,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,40 ACH50,"NY, New York"
92,Ducted Heating,3C,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Mountain View"
93,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"IA, Waterloo"
94,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"PA, Pittsburgh"
95,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"PA, Philadelphia"
96,Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
97,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"AR, Fort Smith"
98,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Charlotte"
102,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"PA, Pittsburgh"
103,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CO, Greeley"
105,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"IL, Chicago"
108,Ducted Heat Pump,1A,1990s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"FL, Coral Springs"
109,Ducted Heating,4A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TN, Nashville-Davidson Metropolitan Government Balance"
110,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Room AC,Natural Gas Fuel Furnace,20 ACH50,"WI, Milwaukee"
112,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"OK, Midwest City"
113,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"OH, Cincinnati"
116,Ducted Heating,5B,1980s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CO, Colorado Springs"
118,Ducted Heating,2A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,30 ACH50,"TX, Houston"
119,Non-Ducted Heating,5A,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"NH, Nashua"
121,Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"MD, Baltimore"
122,Ducted Heat Pump,2A,1970s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Heat Pump,Electricity ASHP,20 ACH50,"FL, Dunedin"
129,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"NV, North Las Vegas"
130,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,5 ACH50,"TX, Harlingen"
132,Ducted Heating,7A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"ND, Grand Forks"
133,Ducted Heating,5A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,2 ACH50,"IA, West Des Moines"
134,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,30 ACH50,"NY, Rochester"
137,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Boiler,20 ACH50,"MN, St Paul"
138,Ducted Heating,2A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"TX, College Station"
139,Ducted Heating,3A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air, Exterior Clear Storm",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TN, Collierville"
142,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Cape Coral"
143,Ducted Heating,2A,1990s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Melbourne"
144,Ducted Heating,5A,1940s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MI, Detroit"
145,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Other Fuel,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Palm Beach Gardens"
146,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"SC, Greenville"
148,Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"CO, Centennial"
149,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"MA, Worcester"
154,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Electricity,Central AC,Natural Gas Fuel Furnace,30 ACH50,"KY, Louisville Jefferson County Metro Government Balance"
155,Non-Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"WI, Janesville"
156,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Rancho Cucamonga"
159,Non-Ducted Heating,4A,1940s,Single-Family Attached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"DC, Washington"
160,Ducted Heating,5A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"NE, Omaha"
161,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"RI, Cranston"
163,Ducted Heating,5B,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CO, Boulder"
165,Ducted Heating,2B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"AZ, Phoenix"
166,Non-Ducted Heating,4A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Baseboard,3 ACH50,"KY, Lexington-Fayette"
168,Non-Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Boiler,4 ACH50,"NV, Spring Valley"
170,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Santa Clarita"
171,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"WA, Yakima"
172,Ducted Heating,3B,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"CA, Fresno"
173,Non-Ducted Heating,3C,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"CA, San Jose"
176,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Furnace,5 ACH50,"WA, Seattle"
177,Non-Ducted Heating,6A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"SD, Rapid City"
179,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"MI, St Clair Shores"
180,Ducted Heating,1A,2000s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Miami"
183,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"AL, Birmingham"
185,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Shared Heating,20 ACH50,"NY, New York"
186,Non-Ducted Heating,6A,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,10 ACH50,"WI, Waukesha"
187,Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"NY, New York"
189,Ducted Heating,3A,1970s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,25 ACH50,"TX, Longview"
190,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Double, Clear, Metal, Air",Fuel Oil,Room AC,Fuel Oil Shared Heating,40 ACH50,"NY, New York"
192,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"OK, Edmond"
193,Ducted Heating,2A,2000s,Multi-Family with 5+ Units,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,25 ACH50,"TX, Houston"
194,Ducted Heating,4A,2010s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"NY, New York"
195,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,30 ACH50,"NY, New York"
197,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"NV, Henderson"
198,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, San Diego"
202,Ducted Heating,1A,1960s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Miami Beach"
204,Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Shared Heating,20 ACH50,"NY, New York"
206,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Boiler,30 ACH50,"CA, Los Angeles"
207,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,15 ACH50,"NY, New York"
209,Ducted Heating,4C,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,None,Natural Gas Fuel Furnace,15 ACH50,"WA, Renton"
211,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Odessa"
212,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"CA, Bakersfield"
213,Non-Ducted Heating,1A,1960s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Room AC,Electricity Baseboard,25 ACH50,"FL, Hallandale Beach"
214,Non-Ducted Heating,5A,1960s,Single-Family Detached,Fuel Oil,"Single, Clear, Non-metal",Electricity,Central AC,Fuel Oil Fuel Boiler,15 ACH50,"CT, Danbury"
216,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Single, Clear, Metal",Electricity,Room AC,Fuel Oil Fuel Furnace,15 ACH50,"NY, New York"
217,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"LA, Bossier City"
222,Ducted Heating,4A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,4 ACH50,"MD, Ocean City"
224,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,6 ACH50,"IL, Cicero"
226,Ducted Heating,5B,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CO, Fort Collins"
227,Ducted Heating,5B,1990s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"UT, West Jordan"
228,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CO, Pueblo"
229,Ducted Heating,4A,1950s,Single-Family Attached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,50 ACH50,"MD, Baltimore"
230,Ducted Heat Pump,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Heat Pump,Electricity ASHP,40 ACH50,"FL, Orlando"
232,Ducted Heat Pump,4A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Natural Gas,Heat Pump,Electricity ASHP,15 ACH50,"DC, Washington"
233,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,None,Natural Gas Fuel Furnace,15 ACH50,"MN, Bloomington"
234,Non-Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"VA, Hampton"
235,Non-Ducted Heating,3C,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"CA, Santa Clara"
236,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,40 ACH50,"IN, Anderson"
239,Ducted Heating,3B,1970s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Santa Monica"
241,Ducted Heating,6A,2010s,Multi-Family with 5+ Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Shared Heating,15 ACH50,"MN, Minneapolis"
